length,age,temp
15.74,1,25
25.65,2,25
38.32,3,25
46.29,4,25
57.14,5,25
61.21,6,25
67.98,7,25
72.1,8,25
76.17,9,25
76.74,10,25
79.87,11,25
78.49,12,25
11.74,1,27
22.26,2,27
34.44,3,27
42.36,4,27
50.29,5,27
57.72,6,27
63.16,7,27
69.09,8,27
70.95,9,27
74.85,10,27
77.29,11,27
74.03,12,27
7.79,1,29
20.81,2,29
30.67,3,29
40.77,4,29
48.06,5,29
53.89,6,29
60.29,7,29
64.46,8,29
70.73,9,29
71.86,10,29
72.29,11,29
72.22,12,29
2.19,1,31
14.54,2,31
27.52,3,31
36.76,4,31
44.12,5,31
50.65,6,31
57.06,7,31
63.38,8,31
65.54,9,31
66.02,10,31
68.32,11,31
65.98,12,31
