,YR1,Early,Late
1,1900,3,44.8
2,1901,15.8,14.08
3,1902,13.1,38.11
4,1903,4,8
5,1904,1,28.8
6,1905,10.5,29.35
7,1906,27.5,52.45
8,1907,7,15.8
9,1908,28.7,54.07
10,1909,19.9,7.89
11,1910,6.1,33.61
12,1911,14.2,55.52
13,1912,10.3,29.23
14,1913,41.8,13.58
15,1914,0.8,28.38
16,1915,12,13.1
17,1916,33.5,52.05
18,1917,12.1,41.11
19,1918,17.5,16.05
20,1919,23.4,56.24
21,1920,13.6,22.16
22,1921,14.8,25.18
23,1922,12.3,57.53
24,1923,14,42.8
25,1924,10.5,11.95
26,1925,33,17.6
27,1926,18.6,34.56
28,1927,12.4,34.24
29,1928,22.3,27.63
30,1929,20.4,15.44
31,1930,10.1,36.11
32,1931,9.2,24.52
33,1932,12.4,28.04
34,1933,3.3,22.33
35,1934,0.5,12.25
36,1935,12.5,17.75
37,1936,15.4,49.74
38,1937,19.5,23.55
39,1938,13.3,28.83
40,1939,3.9,28.89
41,1940,14.9,20.09
42,1941,14.9,45.59
43,1942,18.7,39.47
44,1943,5.2,55.92
45,1944,5.3,60.83
46,1945,4,4.9
47,1946,29.6,41.86
48,1947,28.5,37.55
49,1948,27.5,37.25
50,1949,4.2,21.92
51,1950,7.5,27.45
52,1951,21.8,26.58
53,1952,12.9,36.99
54,1953,7.1,17.91
55,1954,11.4,39.64
56,1955,16.5,48.15
57,1956,14.2,44.62
58,1957,4,28.7
59,1958,21.8,46.98
60,1959,13.4,30.74
61,1960,7.3,42.23
62,1961,16.7,39.67
63,1962,4.8,36.28
64,1963,9.9,35.79
65,1964,10.8,39.18
66,1965,6.2,21.82
67,1966,9.9,26.49
68,1967,30.6,29.76
69,1968,9.2,24.02
70,1969,19.7,42.57
71,1970,14.5,41.35
72,1971,33.3,24.53
73,1972,32.7,29.17
74,1973,38.4,22.74
75,1974,7.5,37.65
76,1975,32.7,32.17
77,1976,8.2,18.92
78,1977,10.3,56.13
79,1978,26.8,54.98
80,1979,54.9,64.79
81,1980,7.8,30.28
82,1981,14.6,19.06
83,1982,21.3,50.33
84,1983,35.2,51.92
85,1984,15.5,33.75
86,1985,50.8,27.28
87,1986,24.8,44.98
88,1987,29.2,63.22
89,1988,21.7,39.77
90,1989,20.8,58.48
91,1990,23.5,20.65
92,1991,18.5,34.15
93,1992,31.5,35.15
